premise	hypothesis	label
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	ورود اندیشه ها به جهان اسلام و تلاش معتزلیان، به چیزی جز رشد نهضت ترجمه منجر نشد.	c
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	یکی از مهم‌ترین پیامدهای نهضت ترجمه، رشد علم کلام در نتیجه نفوذ فلسفه یونان بود.	n
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	سبک شعری پروین اعتصامی بیشتر سبک مناظره است.	e
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	پروین اعتصامی در اشعارش بیشتر از سبک هندی بهره برد.	c
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	در شعرهای پروین می‌توان ویژگی‌های بلیغ زبان را به وضوح یافت.	n
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	۲۵ اسفند در تقویم ایرانی، روز بزرگداشت پروین اعتصامی می باشد.	e
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	در تقویم ایرانی، ۱۵ فروردین روز بزرگداشت پروین اعتصامی است.	c
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	تنها اثر چاپ و منتشر شده از پروین اعتصامی، دیوان اشعار اوست.	n
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	پروین اعتصامی معروفترین شاعر زن ایران می باشد.	e
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	نام مشهورترین شاعر زن ایران، فروغ فرخزاد است.	c
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	پروین از کودکی فارسی، انگلیسی و عربی را آموخت.	n
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	"""مادر شعر پارسی"" لقب ""رابعه بلخی"" می باشد."	e
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	"""نورجهان"" ملقب به ""مادر شعر پارسی"" است."	c
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	عطار در کتابِ الهی‌نامه از رابعه سخن گفته است.	n
اقبال لاهوری نخستین کسی بود که ایدهٔ یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	کشور پاکستان به پیشنهاد اقبال لاهوری ایجاد شد.	e
اقبال لاهوری نخستین کسی بود که ایدهٔ یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	بینظیر بوتو، پیشنهاد ایجاد کشور پاکستان را داد.	c
اقبال لاهوری نخستین کسی بود که ایدهٔ یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	اقبال در پاکستان «شاعر ملی» خوانده می‌شود.	n
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.	از نشانه های فرمانروایی شاهان هخامنشی گزیدن نامی در خور بود.	e
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.	داشتن قلمرو گسترده از مهمترین نشانه های فرمانروایی پادشاهان هخامنشی بود.	c
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.	هخامنشیان همان تاجی را بر سر می نهادند که داریوش طراح آن بود.	n
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی «شاعر ملی» خوانده می‌شود.	اقبال لاهوری، شاعر ملی پاکستان است.	e
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی «شاعر ملی» خوانده می‌شود.	شاعر ملی پاکستان، رحمان بابا می باشد.	c
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی «شاعر ملی» خوانده می‌شود.	نیاکان اقبال از قبیله سپروی برهمنان بودند.	n
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال۱۲۵۰ پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.	اوج شکوفایی هنر ایلامی در معبد چغازنبیل متجلی است.	e
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال۱۲۵۰ پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.	اوج شکوه هنر و معماری ایلامی در کاخ شوش می باشد.	c
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال۱۲۵۰ پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.	معبد چغازنبیل نخستین ساختمان مذهبی ایران می‌باشد.	n
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.	داریوش به هنگام ساخت کاخ شوش، از جواهرسازان قوم ماد استفاده کرد.	e
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.	جواهرسازان لیدی در کاخ شوش توسط داریوش به کار گرفته شدند.	c
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.	در سنگ نوشته کاخ شوش داریوش از مصری ها و مادی ها نام می برد.	n
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.	شاخه ی غربی جاده شاهی شهرهای سارد و شوش را به یکدیگر متصل میکرد.	e
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.	شاخه شرقی جاده شاهی سارد را به شوش متصل می نمود.	c
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.	جاده شاهی به فرمان داریوش بزرگ هخامنشی ساخته شد.	n
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت دربارهٔ ۳۵۴ از عارفان شاعر یا شاعران عارف ایران است.	"""ریاض العارفین"" از آثار ""رضاقلی‌خان هدایت"" می باشد."	e
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت دربارهٔ ۳۵۴ از عارفان شاعر یا شاعران عارف ایران است.	"""مستعلی شاه شیروانی"" نویسنده ""ریاض‌العارفین"" است."	c
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت دربارهٔ ۳۵۴ از عارفان شاعر یا شاعران عارف ایران است.	فرهنگ انجمن آرای رضاقلی‌خان در بیان لغت فارسی بی نظیر است.	n
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه (۵۵%)، عرب های سنی (۲۵%) و کردهای سنی (۲۰%)	۵۵ درصد از جمعیت عراق را عرب های شیعه تشکیل داده اند.	e
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه (۵۵%)، عرب های سنی (۲۵%) و کردهای سنی (۲۰%)	مجموع جمعیت اعراب شیعه و سنی در عراق، ۹۰% کل جمعیت است.	c
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه (۵۵%)، عرب های سنی (۲۵%) و کردهای سنی (۲۰%)	کشور عراق دارای اختلافات مذهبی و ناهمگونی زبان است.	n
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.	بهانه ای که کوروش را به فکر حمله به بین النهرین انداخت تمایل پیمان بابل با کرزوس بود.	e
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.	پیمان آستیاکو با کرزوس بهانه حمله کوروش به بابل و بین النهرین را فراهم آورد.	c
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.	کوروش بعد از فتح بابل پسرش کمبوجیه‌ را به‌ سلطنت‌ بابل رساند.	n
رضاقلی خان طبرستانی ملقب به لَلِـه‌باشی در ۱۸ خرداد ۱۱۷۹ در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت. 	"فتحعلی شاه به ""رضاقلی خان طبرستانی""، عنوان ""امیرالشعرایی"" داد."	e
رضاقلی خان طبرستانی ملقب به لَلِـه‌باشی در ۱۸ خرداد ۱۱۷۹ در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت. 	"""اعتماد السلطنه"" از طرف فتحعلی شاه عنوان ""امیرالشعرایی"" گرفت."	c
رضاقلی خان طبرستانی ملقب به لَلِـه‌باشی در ۱۸ خرداد ۱۱۷۹ در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت. 	رضاقلی خان از طرف ناصرالدین شاه به ریاست مدرسهٔ دارالفنون رسید.	n
مجمعُ‌الفُصحاء (تألیف ۱۲۸۴ قمری) تذکرهٔ ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار ۸۶۷ شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکرهٔ شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است	"بزرگترین تذکره شاعران فارسی‌گو، کتاب ""مجمعُ‌الفُصحاء "" است."	e
مجمعُ‌الفُصحاء (تألیف ۱۲۸۴ قمری) تذکرهٔ ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار ۸۶۷ شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکرهٔ شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است	"کتاب ""ریاض العارفین""، بزرگترین تذکره شاعران فارسی‌گو می باشد."	c
مجمعُ‌الفُصحاء (تألیف ۱۲۸۴ قمری) تذکرهٔ ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار ۸۶۷ شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکرهٔ شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است	مجمعُ‌الفُصحاء به تصحیح مظاهر مصفا در سال ۳۶ تا ۴۰ در شش مجلد منتشر شد.	n
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.	ابن خلدون بر این نظر است که خودکامگی و ناز و نعمت و تجمل، منجر به سالخوردگی حکومت می شود.	e
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.	هیچ اندیشمندی جز سید جمال اسدآبادی، دلیل سالخوردگی حکومت را تجمل، ناز و نعمت و خودکامگی عنوان نکرده است.	c
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.	یکی از مهمترین دلایل فرار خردورزان از مرکزیت خلافت اسلامی، نفاق حکمرانان، نیرنگ خلفا و خودکامگی دولت مداران بود.	n
کوتیر-ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر-ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال ۱۱۵۷ پیش از میلاد خاتمه می یابد.	در سال ۱۱۵۷ ق.م کوتیر-ناهوته حکمران ایلام برای گرفتن انتقام بابل را فتح میکند.	e
کوتیر-ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر-ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال ۱۱۵۷ پیش از میلاد خاتمه می یابد.	حمورابی پادشاه ایلام در سال ۱۱۵۷ برای گرفتن انتقام، بابل را فتح و آخرین شاه کاسی آنجا را شکست میدهد.	c
کوتیر-ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر-ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال ۱۱۵۷ پیش از میلاد خاتمه می یابد.	آخرین شاه کاسی بابل پس از شکست از کوتیر-ناهونته، روانه تبعید گاه ایلام شد.	n
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد؛ وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او «فروغ‌الدوله»، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد.	"اولین تخلص فروغی بسطامی ""مسکین"" بود."	e
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد؛ وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او «فروغ‌الدوله»، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد.	"""ثابت"" نخستین تخلص فروغی بسطامی می باشد."	c
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد؛ وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او «فروغ‌الدوله»، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد.	فُروغی بَسطامی از غزل‌سرایان دوره قاجار بود.	n
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را «مجتهدالشعراء» لقب داد و محمدشاه نیز قاآنی را «حسان‌العجم» می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایهٔ شگفتی خوانندگان بود.	"لقب ""مجتهدالشعراء"" از سوی فتحعلی‌شاه به قاآنی داده شد."	e
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را «مجتهدالشعراء» لقب داد و محمدشاه نیز قاآنی را «حسان‌العجم» می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایهٔ شگفتی خوانندگان بود.	"محمد شاه به قاآنی لقب ""مجتهدالشعراء"" را داده است."	c
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را «مجتهدالشعراء» لقب داد و محمدشاه نیز قاآنی را «حسان‌العجم» می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایهٔ شگفتی خوانندگان بود.	پسر قاآنی شاعری با تخلص «سامانی» بوده است.	n
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است؛ کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.	"کتاب ""پریشان"" اثر قاآنی به تقلید از کتاب گلستان سعدی نوشته شده است."	e
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است؛ کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.	"قاآنی کتاب ""پریشان"" را به تقلید از بوستان سعدی به رشته تحریر در آورده است."	c
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است؛ کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.	اشعار قاآنی از دیدگاه لفّاظی، به‌کاربردن آرایه‌های شعری و ابتکار در قوافی بی‌همتاست.	n
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمّدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمّدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.	قاآنی شاعر دوران قاجار، با سه پادشاه قاجار هم دوره بود.	e
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمّدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمّدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.	قاآنی از شاعران دوره قاجار، با یک پادشاه قاجار هم عصر بود.	c
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمّدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمّدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.	قاآنی نخستین شاعر ایرانی است که به زبان فرانسه تسلط داشت.	n
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال ۱۳۵۴ چاپ شده‌است.	مترجم کتاب مینوی خرد، احمد تفضلی است.	e
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال ۱۳۵۴ چاپ شده‌است.	یعقوب آژند، مترجم کتاب مینوی خرد می باشد.	c
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال ۱۳۵۴ چاپ شده‌است.	کتاب مینوی خرد در ۶۳ فصل تدوین شده‌است.	n
